<ID|readonly|noverify>;<English>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC▄IT▄FRISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD
mirage_f1c_2;Mirage F1C
structures/heavy_lasgun_carrier_shop;Orbital lasgun
uk_alecto_mk_1_shop;Alecto I
uk_alecto_mk_1_0;Alecto I
uk_alecto_mk_1_1;Alecto I
uk_alecto_mk_1_2;SPG
kfir_c2_shop;Kfir C.2
kfir_c2_0;Kfir C.2
kfir_c2_1;Kfir C.2
kfir_c2_2;Kfir C.2
ussr_t_72m2_moderna_shop;T-72M2 Moderna
ussr_t_72m2_moderna_0;T-72M2 Moderna
ussr_t_72m2_moderna_1;T-72M2 Moderna
ussr_t_72m2_moderna_2;T-72M2 Moderna
us_destroyer_somers_davis_shop;USS Davis
us_destroyer_somers_davis_0;Somers-class, USS Davis (DD-395), 1942
us_destroyer_somers_davis_1;USS Davis
us_destroyer_somers_davis_2;USS Davis
shop/group/ussr_is_2_1944_group;IS-2 (1944)
ussr_is_2_1944_321_shop;IS-2 №321
ussr_is_2_1944_321_0;IS-2 №321
ussr_is_2_1944_321_1;IS-2 №321
ussr_is_2_1944_321_2;IS-2 №321
p-51c-10_france_shop;F-6C-10
p-51c-10_france_0;F-6C-10-NA
p-51c-10_france_1;F-6C-10
p-51c-10_france_2;F-6C-10
germ_panzerjager_tiger_P_elefant_shop;Elefant
germ_panzerjager_tiger_P_elefant_0;Panzerjäger Tiger (P) Elefant
germ_panzerjager_tiger_P_elefant_1;Elefant
germ_panzerjager_tiger_P_elefant_2;Elefant
uk_destroyer_battle_cadiz_shop;HMS Cadiz
uk_destroyer_battle_cadiz_0;Battle-class, HMS Cadiz (D79), 1951
uk_destroyer_battle_cadiz_1;HMS Cadiz
uk_destroyer_battle_cadiz_2;HMS Cadiz
germ_pzkpfw_II_ausf_C_td_shop;Pz.II C TD
germ_pzkpfw_II_ausf_C_td_0;Pz.Kpfw. II Ausf. C TD
germ_pzkpfw_II_ausf_C_td_1;Pz.II C TD
germ_pzkpfw_II_ausf_C_td_2;Pz.II C TD
os2u_1_naval_shop;OS2U-1
os2u_1_naval_0;OS2U-1 Kingfisher
os2u_1_naval_1;OS2U-1
os2u_1_naval_2;OS2U-1
us_m24_chaffee_tutorial_shop;M24
us_m24_chaffee_tutorial_0;Light Tank M24 Chaffee
us_m24_chaffee_tutorial_1;M24
us_m24_chaffee_tutorial_2;M24
us_m26_pershing_tutorial_shop;M26
us_m26_pershing_tutorial_0;Medium Tank M26 Pershing
us_m26_pershing_tutorial_1;M26
us_m26_pershing_tutorial_2;M26
us_m4a2_76w_sherman_tutorial_shop;M4A2 (76) W
us_m4a2_76w_sherman_tutorial_0;Medium Tank M4A2 (76) W Sherman
us_m4a2_76w_sherman_tutorial_1;M4A2 (76) W
us_m4a2_76w_sherman_tutorial_2;M4A2 (76) W
uk_g6_spg_shop;G6
uk_g6_spg_0;G6 Rhino
uk_g6_spg_1;G6
uk_g6_spg_2;G6
uk_crusader_aa_mk_2_tutorial_shop;Crusader AA Mk II
uk_crusader_aa_mk_2_tutorial_0;Tank, Cruiser, Crusader III, AA Mk II
uk_crusader_aa_mk_2_tutorial_1;Crusader AA Mk II
uk_crusader_aa_mk_2_tutorial_2;Crusader AA Mk II
fr_vcac_mephisto_shop;MEPHISTO
fr_vcac_mephisto_0;Véhicule de Combat Anti-Char, MEPHISTO
fr_vcac_mephisto_1;MEPHISTO
fr_vcac_mephisto_2;MEPHISTO
ju-87r-2_snake_shop;Ju 87 R-2 Libya
ju-87r-2_snake_0;Ju 87 R-2 Libya
ju-87r-2_snake_1;Ju 87 R-2 Libya
ju-87r-2_snake_2;Ju 87 R-2 Libya
su_17m4_shop;Su-17M4
su_17m4_0;Su-17M4 "Fitter-K"
su_17m4_1;Su-17M4
su_17m4_2;Su-17M4
mig-17p_lim_5p_shop;◊Lim-5P
mig-17p_lim_5p_0;◊Lim-5P "Fresco-D"
mig-17p_lim_5p_1;◊Lim-5P
mig-17p_lim_5p_2;◊Lim-5P
ussr_btr_zd_shop;BTR-ZD
ussr_btr_zd_0;BTR-ZD
ussr_btr_zd_1;BTR-ZD
ussr_btr_zd_2;BTR-ZD
mirage_milan_shop;Milan
mirage_milan_0;Milan
mirage_milan_1;Milan
mirage_milan_2;Milan
germ_leopard_2a4_pzbtl_123_shop;Leopard 2 (PzBtl 123)
germ_leopard_2a4_pzbtl_123_0;Leopard 2A4, Panzerbataillon 123
germ_leopard_2a4_pzbtl_123_1;Leopard 2 (PzBtl 123)
germ_leopard_2a4_pzbtl_123_2;Leopard 2 (PzBtl 123)
us_m1a1_aim_abrams_shop;M1A1 AIM
us_m1a1_aim_abrams_0;Tank, Combat, Full Tracked, 120-mm Gun M1A1, AIM
us_m1a1_aim_abrams_1;M1A1 AIM
us_m1a1_aim_abrams_2;M1A1 AIM
il_merkava_mk_3b_shop;Merkava Mk.3B
il_merkava_mk_3b_0;Merkava Siman 3 Baz
il_merkava_mk_3b_1;Merkava Mk.3B
il_merkava_mk_3b_2;Merkava Mk.3B
it_vbc_pt2_shop;VBC (PT2)
it_vbc_pt2_0;Veicolo Blindato da Combattimento, Prototipo 2
it_vbc_pt2_1;VBC (PT2)
it_vbc_pt2_2;VBC (PT2)
uk_challenger_1_mk_3_gulf_shop;Challenger DS
uk_challenger_1_mk_3_gulf_0;Tank, Combat, 120-mm Gun, Challenger Mk.3, Desert Storm
uk_challenger_1_mk_3_gulf_1;Challenger DS
uk_challenger_1_mk_3_gulf_2;Challenger DS
it_lancia3ro_100_shop;Lancia 3Ro (100/17)
it_lancia3ro_100_0;100/17 su Lancia 3Ro
it_lancia3ro_100_1;Lancia 3Ro (100/17)
it_lancia3ro_100_2;Lancia 3Ro (100/17)
f_14a_early_shop;F-14A
f_14a_early_0;F-14A Tomcat
f_14a_early_1;F-14A
f_14a_early_2;F-14A
cn_ztz_99a_shop;ZTZ99A
cn_ztz_99a_0;ZTZ99A
cn_ztz_99a_1;ZTZ99A
cn_ztz_99a_2;ZTZ99A
sw_pvkv_III_shop;Pvkv III
sw_pvkv_III_0;Pansarvärnskanonvagn III
sw_pvkv_III_1;Pvkv III
sw_pvkv_III_2;Pvkv III
uk_battlecruiser_hood_shop;HMS Hood
uk_battlecruiser_hood_0;Admiral-class, HMS Hood (51), 1941
uk_battlecruiser_hood_1;HMS Hood
uk_battlecruiser_hood_2;HMS Hood
germ_battleship_bayern_shop;SMS Bayern
germ_battleship_bayern_0;Bayern-class, SMS Bayern, 1916
germ_battleship_bayern_1;SMS Bayern
germ_battleship_bayern_2;SMS Bayern
uk_hdml_ml1383_shop;ML 1383
uk_hdml_ml1383_0;HDML, ML 1383
uk_hdml_ml1383_1;ML 1383
uk_hdml_ml1383_2;ML 1383
ussr_battlecruiser_kronshtadt_shop;Kronshtadt
ussr_battlecruiser_kronshtadt_0;Project 69, Kronshtadt, project
ussr_battlecruiser_kronshtadt_1;Kronshtadt
ussr_battlecruiser_kronshtadt_2;Kronshtadt
it_destroyer_fletcher_geniere_shop;Geniere
it_destroyer_fletcher_geniere_0;Fante-class, Geniere (D 555), 1972
it_destroyer_fletcher_geniere_1;Geniere
it_destroyer_fletcher_geniere_2;Geniere
shop/group/fiat_g50_italy_group;G.50
f-5e_aidc_shop;☀F-5E
f-5e_aidc_0;☀AIDC F-5E
f-5e_aidc_1;☀F-5E
f-5e_aidc_2;☀F-5E
il_centurion_shot_kal_d_shop;Sho't Kal Dalet
il_centurion_shot_kal_d_0;Sho't Kal Dalet
il_centurion_shot_kal_d_1;Sho't Kal Dalet
il_centurion_shot_kal_d_2;Sho't Kal Dalet
it_l6_leone_shop;L6/40 (31 Rgt.)
it_l6_leone_0;Carro Armato modello L6, 31 Reggimento Carristi
it_l6_leone_1;L6/40 (31 Rgt.)
it_l6_leone_2;L6/40 (31 Rgt.)
il_magach_3_shop;Magach 3 (ERA)
il_magach_3_0;Magach 3 (ERA)
il_magach_3_1;Magach 3 (ERA)
il_magach_3_2;Magach 3 (ERA)
md_500_tow_late_shop;MD500-TOW
md_500_tow_late_0;MD500-TOW Lahatut
md_500_tow_late_1;MD500-TOW
md_500_tow_late_2;MD500-TOW
jp_destroyer_ayanami_shop;JDS Ayanami (DD-103)
jp_destroyer_ayanami_0;Ayanami-class, JDS Ayanami (DD-103)
jp_destroyer_ayanami_1;JDS Ayanami
jp_destroyer_ayanami_2;JDS Ayanami
us_ashville_class_douglas_shop;USS Douglas
us_ashville_class_douglas_0;Asheville-class, USS Douglas (PGM-100)
us_ashville_class_douglas_1;USS Douglas
us_ashville_class_douglas_2;USS Douglas
us_destroyer_gearing_shop;USS Gearing
us_destroyer_gearing_0;Gearing-class, USS Gearing (DD-710), 1945
us_destroyer_gearing_1;USS Gearing
us_destroyer_gearing_2;USS Gearing
he_112b_1_italy_shop;He 112 B-1/U2
he_112b_1_italy_0;He 112 B-1/U2
he_112b_1_italy_1;He 112 B-1/U2
he_112b_1_italy_2;He 112 B-1/U2
ariete_shop;Ariete
ariete_0;Ariete
ariete_1;Ariete
ariete_2;Ariete
mirage_f1ct_shop;Mirage F1CT
mirage_f1ct_0;Mirage F1CT
mirage_f1ct_1;Mirage F1CT
mirage_f1ct_2;Mirage F1CT
il_tiran_4_shop;Tiran 4
il_tiran_4_0;Tiran 4
il_tiran_4_1;Tiran 4
il_tiran_4_2;Tiran 4
z_19e_shop;Z-19E
z_19e_0;Z-19E
z_19e_1;Z-19E
z_19e_2;Z-19E
ah_1g_iaf_shop;AH-1G
ah_1g_iaf_0;AH-1G Tzefa A
ah_1g_iaf_1;AH-1G
ah_1g_iaf_2;AH-1G
ah_1q_iaf_shop;AH-1Q
ah_1q_iaf_0;AH-1Q Tzefa B
ah_1q_iaf_1;AH-1Q
ah_1q_iaf_2;AH-1Q
ah_1f_iaf_shop;AH-1F
ah_1f_iaf_0;AH-1F Tzefa D/E
ah_1f_iaf_1;AH-1F
ah_1f_iaf_2;AH-1F
lightning_f53_shop;Lightning F.53
lightning_f53_0;Lightning F.53
lightning_f53_1;Lightning F.53
lightning_f53_2;Lightning F.53
ah_64d_i_saraph_shop;AH-64D-I
ah_64d_i_saraph_0;AH-64D-I Saraph
ah_64d_i_saraph_1;AH-64D-I
ah_64d_i_saraph_2;AH-64D-I
ah_64a_iaf_shop;AH-64A
ah_64a_iaf_0;AH-64A Peten
ah_64a_iaf_1;AH-64A
ah_64a_iaf_2;AH-64A
jp_m36b2_jgsdf_shop;▅M36B2
jp_m36b2_jgsdf_0;90-mm Gun Motor Carriage M36B2, SDF
jp_m36b2_jgsdf_1;▅M36B2
jp_m36b2_jgsdf_2;▅M36B2
bv-155b-1_shop;BV 155 B-1
bv-155b-1_0;BV 155 B-1
bv-155b-1_1;BV 155 B-1
bv-155b-1_2;BV 155 B-1
jp_t51a_shop;Type T-51a
jp_t51a_0;Type T-51a
jp_t51a_1;Type T-51a
jp_t51a_2;Type T-51a
ussr_object_248_shop;Object 248
ussr_object_248_0;Object 248
ussr_object_248_1;Object 248
ussr_object_248_2;Object 248
f4d_1_shop;F4D-1
f4d_1_0;F4D-1 Skyray
f4d_1_1;F4D-1
f4d_1_2;F4D-1
jp_battlecruiser_haruna_shop;IJN Haruna
jp_battlecruiser_haruna_0;Kongo-class, IJN Haruna, 1945
jp_battlecruiser_haruna_1;IJN Haruna
jp_battlecruiser_haruna_2;IJN Haruna
germ_leopard_2av_shop;Leopard 2AV
germ_leopard_2av_0;KPz Leopard 2AV, PT-19/T19-AV
germ_leopard_2av_1;Leopard 2AV
germ_leopard_2av_2;Leopard 2AV
it_44m_zrinyi_1_shop;◐Zrinyi I
it_44m_zrinyi_1_0;◐44M.Zrinyi I
it_44m_zrinyi_1_1;◐Zrinyi I
it_44m_zrinyi_1_2;◐Zrinyi I
cn_object_122tm_shop;Object 122TM
cn_object_122tm_0;Object 122TM
cn_object_122tm_1;Object 122TM
cn_object_122tm_2;Object 122TM
us_m36b2_shop;M36B2
us_m36b2_0;90-mm Gun Motor Carriage M36B2
us_m36b2_1;M36B2
us_m36b2_2;M36B2
germ_vk_3002m_shop;VK 30.02 (M)
germ_vk_3002m_0;VK 30.02 (M)
germ_vk_3002m_1;VK 30.02 (M)
germ_vk_3002m_2;VK 30.02 (M)
uk_skink_aa_shop;Skink
uk_skink_aa_0;Skink, Tank, Anti-Aircraft, 20mm, Quad
uk_skink_aa_1;Skink
uk_skink_aa_2;Skink
fr_m36b2_cefeo_shop;▄M36B2
fr_m36b2_cefeo_0;▄90 mm Gun Motor Carriage M36B2
fr_m36b2_cefeo_1;▄M36B2
fr_m36b2_cefeo_2;▄M36B2
ucav_recon_micro_shop;Recon Micro
ucav_recon_micro_0;Recon Micro
ucav_recon_micro_1;Recon Micro
ucav_recon_micro_2;Recon Micro
ucav_recon_micro_flir_shop;Recon Micro [FLIR]
ucav_recon_micro_flir_0;Recon Micro [FLIR]
ucav_recon_micro_flir_1;Recon Micro [FLIR]
ucav_recon_micro_flir_2;Recon Micro [FLIR]
ucav_mq_1_predator_shop;MQ-1
ucav_mq_1_predator_0;MQ-1 Predator
ucav_mq_1_predator_1;MQ-1
ucav_mq_1_predator_2;MQ-1
su_25_shop;Su-25
su_25_0;Su-25 "Frogfoot-A"
su_25_1;Su-25
su_25_2;Su-25
su_25k_shop;Su-25K
su_25k_0;Su-25K "Frogfoot-A"
su_25k_1;Su-25K
su_25k_2;Su-25K
fiat_g91_y_shop;G.91 Y
fiat_g91_y_0;G.91 Y
fiat_g91_y_1;G.91 Y
fiat_g91_y_2;G.91 Y
so_4050_vautour_2n_late_shop;Vautour IIN [L]
so_4050_vautour_2n_late_0;S.O.4050 Vautour IIN Late
so_4050_vautour_2n_late_1;Vautour IIN [L]
so_4050_vautour_2n_late_2;Vautour IIN [L]
mirage_2000c_s5_shop;Mirage 2000C-S5
mirage_2000c_s5_0;Mirage 2000C-S5
mirage_2000c_s5_1;Mirage 2000C-S5
mirage_2000c_s5_2;Mirage 2000C-S5
il_merkava_mk_3c_shop;Merkava Mk.3C
il_merkava_mk_3c_0;Merkava Siman 3 Bet Baz
il_merkava_mk_3c_1;Merkava Mk.3C
il_merkava_mk_3c_2;Merkava Mk.3C
il_magach_3_idf_shop;Magach 3
il_magach_3_idf_0;Magach 3
il_magach_3_idf_1;Magach 3
il_magach_3_idf_2;Magach 3
il_magach_5_shop;Magach 5
il_magach_5_0;Magach 5
il_magach_5_1;Magach 5
il_magach_5_2;Magach 5
il_magach_6r_shop;Magach 6R
il_magach_6r_0;Magach 6R
il_magach_6r_1;Magach 6R
il_magach_6r_2;Magach 6R
il_magach_6m_shop;Magach 6M
il_magach_6m_0;Magach 6M
il_magach_6m_1;Magach 6M
il_magach_6m_2;Magach 6M
it_vrcc_centauro_shop;VRCC
it_vrcc_centauro_0;Vehículo de Reconocimiento y Combate de Caballería Centauro
it_vrcc_centauro_1;VRCC
it_vrcc_centauro_2;VRCC
z_11wa_shop;Z-11WA
z_11wa_0;Z-11WA
z_11wa_1;Z-11WA
z_11wa_2;Z-11WA
z_19_shop;Z-19
z_19_0;Z-19
z_19_1;Z-19
z_19_2;Z-19
sa_342l_china_shop;␗SA 342L Gazelle
sa_342l_china_0;␗SA 342L Gazelle
sa_342l_china_1;␗SA 342L
sa_342l_china_2;␗SA 342L
ussr_t_80uk_shop;T-80UK
ussr_t_80uk_0;T-80UK
ussr_t_80uk_1;T-80UK
ussr_t_80uk_2;T-80UK
jp_type_16_mcv_prot_shop;Type 16 (P)
jp_type_16_mcv_prot_0;Type 16, Prototype
jp_type_16_mcv_prot_1;Type 16 (P)
jp_type_16_mcv_prot_2;Type 16 (P)
mig_23bn_shop;◊MiG-23BN
mig_23bn_0;◊MiG-23BN "Flogger-D"
mig_23bn_1;◊MiG-23BN
mig_23bn_2;◊MiG-23BN
harrier_gr7_shop;Harrier GR.7
harrier_gr7_0;Harrier GR.7
harrier_gr7_1;Harrier GR.7
harrier_gr7_2;Harrier GR.7
t_129_atak_shop;T129 ATAK
t_129_atak_0;T129 ATAK
t_129_atak_1;T129 ATAK
t_129_atak_2;T129 ATAK
cn_hj_9_shop;AFT-9
cn_hj_9_0;AFT-9
cn_hj_9_1;AFT-9
cn_hj_9_2;AFT-9
sw_leopard_1a5no_shop;Leopard 1A5NO
sw_leopard_1a5no_0;Leopard 1A5NO
sw_leopard_1a5no_1;Leopard 1A5NO
sw_leopard_1a5no_2;Leopard 1A5NO
sw_pbv_302_bill_shop;Pbv 302 (BILL)
sw_pbv_302_bill_0;Pansarbandvagn 302 BILL
sw_pbv_302_bill_1;Pbv 302 (BILL)
sw_pbv_302_bill_2;Pbv 302 (BILL)
us_battlecruiser_alaska_class_shop;USS Alaska
us_battlecruiser_alaska_class_0;Alaska-class, USS Alaska (CB-1), 1944
us_battlecruiser_alaska_class_1;USS Alaska
us_battlecruiser_alaska_class_2;USS Alaska
germ_km5_shop;KM-5
germ_km5_0;KM-5
germ_km5_1;KM-5
germ_km5_2;KM-5
ussr_cruiser_mikhail_kutuzov_shop;Mikhail Kutuzov
ussr_cruiser_mikhail_kutuzov_0;Pr.68-A, Mikhail Kutuzov, 1986
ussr_cruiser_mikhail_kutuzov_1;Mikhail Kutuzov
ussr_cruiser_mikhail_kutuzov_2;Mikhail Kutuzov
germ_cruiser_elbing_shop;SMS Elbing
germ_cruiser_elbing_0;Pillau-class, SMS Elbing, 1915
germ_cruiser_elbing_1;SMS Elbing
germ_cruiser_elbing_2;SMS Elbing
jp_destroyer_hatsuharu_shop;IJN Hatsuharu
jp_destroyer_hatsuharu_0;Hatsuharu-class, IJN Hatsuharu, 1933
jp_destroyer_hatsuharu_1;IJN Hatsuharu
jp_destroyer_hatsuharu_2;IJN Hatsuharu
ussr_destroyer_pr56_blagorodny_shop;Blagorodnyy
ussr_destroyer_pr56_blagorodny_0;Pr.56-PLO, Blagorodnyy, 1978
ussr_destroyer_pr56_blagorodny_1;Blagorodnyy
ussr_destroyer_pr56_blagorodny_2;Blagorodnyy
it_destroyer_navigatori_class_verazzano_shop;RN Da Verazzano
it_destroyer_navigatori_class_verazzano_0;Navigatori-class, RN Giovanni da Verazzano, 1940
it_destroyer_navigatori_class_verazzano_1;RN Da Verazzano
it_destroyer_navigatori_class_verazzano_2;RN Da Verazzano
uk_attack_class_arrow_shop;HMAS Arrow
uk_attack_class_arrow_0;Attack-class, HMAS Arrow
uk_attack_class_arrow_1;HMAS Arrow
uk_attack_class_arrow_2;HMAS Arrow
it_battleship_andrea_doria_shop;RN Andrea Doria
it_battleship_andrea_doria_0;Andrea Doria-class, RN Andrea Doria, 1930
it_battleship_andrea_doria_1;RN Andrea Doria
it_battleship_andrea_doria_2;RN Andrea Doria
ucav_mq_1_predator_france_killstreak_shop;MQ-1
ucav_mq_1_predator_france_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_france_killstreak_1;MQ-1
ucav_mq_1_predator_france_killstreak_2;MQ-1
ucav_mq_1_predator_germany_killstreak_shop;MQ-1
ucav_mq_1_predator_germany_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_germany_killstreak_1;MQ-1
ucav_mq_1_predator_germany_killstreak_2;MQ-1
ucav_mq_1_predator_iaf_killstreak_shop;MQ-1
ucav_mq_1_predator_iaf_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_iaf_killstreak_1;MQ-1
ucav_mq_1_predator_iaf_killstreak_2;MQ-1
ucav_mq_1_predator_italy_killstreak_shop;MQ-1
ucav_mq_1_predator_italy_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_italy_killstreak_1;MQ-1
ucav_mq_1_predator_italy_killstreak_2;MQ-1
ucav_mq_1_predator_japan_killstreak_shop;MQ-1
ucav_mq_1_predator_japan_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_japan_killstreak_1;MQ-1
ucav_mq_1_predator_japan_killstreak_2;MQ-1
ucav_mq_1_predator_sweden_killstreak_shop;MQ-1
ucav_mq_1_predator_sweden_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_sweden_killstreak_1;MQ-1
ucav_mq_1_predator_sweden_killstreak_2;MQ-1
ucav_mq_1_predator_uk_killstreak_shop;MQ-1
ucav_mq_1_predator_uk_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_uk_killstreak_1;MQ-1
ucav_mq_1_predator_uk_killstreak_2;MQ-1
ucav_mq_1_predator_usa_killstreak_shop;MQ-1
ucav_mq_1_predator_usa_killstreak_0;MQ-1 Predator
ucav_mq_1_predator_usa_killstreak_1;MQ-1
ucav_mq_1_predator_usa_killstreak_2;MQ-1
ucav_orion_killstreak_shop;Orion
ucav_orion_killstreak_0;Orion
ucav_orion_killstreak_1;Orion
ucav_orion_killstreak_2;Orion
ucav_wing_loong_i_killstreak_shop;Wing Loong I
ucav_wing_loong_i_killstreak_0;Wing Loong I
ucav_wing_loong_i_killstreak_1;Wing Loong I
ucav_wing_loong_i_killstreak_2;Wing Loong I
ah_2_rooivalk_shop;Rooivalk
ah_2_rooivalk_0;Rooivalk Mk.1F CSH
ah_2_rooivalk_1;Rooivalk
ah_2_rooivalk_2;Rooivalk
us_cyclone_class_cyclone_shop;USS Cyclone
us_cyclone_class_cyclone_0;Cyclone-class, USS Cyclone (PC-1)
us_cyclone_class_cyclone_1;USS Cyclone
us_cyclone_class_cyclone_2;USS Cyclone
z_9w_shop;Z-9W
z_9w_0;Z-9W
z_9w_1;Z-9W
z_9w_2;Z-9W
z_9wa_shop;Z-9WA
z_9wa_0;Z-9WA
z_9wa_1;Z-9WA
z_9wa_2;Z-9WA
z_10_shop;Z-10
z_10_0;Z-10
z_10_1;Z-10
z_10_2;Z-10
il_magach_6c_shop;Magach 6C
il_magach_6c_0;Magach 6C
il_magach_6c_1;Magach 6C
il_magach_6c_2;Magach 6C
arado-196a-5_shop;▄Ar 196 A-5
arado-196a-5_0;▄Ar 196 A-5
arado-196a-5_1;▄Ar 196 A-5
arado-196a-5_2;▄Ar 196 A-5
shop/group/il_magach_6_6a_group;Magach 6/6A
po-2m_shop;Po-2M
po-2m_0;Po-2M
po-2m_1;Po-2M
po-2m_2;Po-2M
us_ccvl_shop;CCVL
us_ccvl_0;Close Combat Vehicle Light
us_ccvl_1;CCVL
us_ccvl_2;CCVL
jaguar_e_shop;Jaguar E
jaguar_e_0;Jaguar E
jaguar_e_1;Jaguar E
jaguar_e_2;Jaguar E
germ_battleship_ostfriesland_shop;SMS Ostfriesland
germ_battleship_ostfriesland_0;Helgoland-class, SMS Ostfriesland, 1911
germ_battleship_ostfriesland_1;SMS Ostfriesland
germ_battleship_ostfriesland_2;SMS Ostfriesland
germ_sdkfz_251_9_shop;Sd.Kfz.251/9
germ_sdkfz_251_9_0;m.Schütz.Pz.Wg. (Sd.Kfz.251/9)
germ_sdkfz_251_9_1;Sd.Kfz.251/9
germ_sdkfz_251_9_2;Sd.Kfz.251/9
uk_a_22f_mk_7_churchill_crocodile_shop;Churchill Crocodile
uk_a_22f_mk_7_churchill_crocodile_0;Tank, Infantry, Mk IV, Churchill VII (A22F) Crocodile
uk_a_22f_mk_7_churchill_crocodile_1;Churchill Crocodile
uk_a_22f_mk_7_churchill_crocodile_2;Churchill Crocodile
uk_bosvark_shop;Bosvark
uk_bosvark_0;Bosvark
uk_bosvark_1;Bosvark
uk_bosvark_2;Bosvark
fr_vab_santal_shop;SANTAL
fr_vab_santal_0;Véhicule de l'Avant Blindé, SANTAL
fr_vab_santal_1;SANTAL
fr_vab_santal_2;SANTAL
a_20g_30_ussr_shop;▂A-20G-30
a_20g_30_ussr_0;▂A-20G-30 Havoc
a_20g_30_ussr_1;▂A-20G-30
a_20g_30_ussr_2;▂A-20G-30
fw_190a_5_u14_shop;Fw 190 A-5/U14
fw_190a_5_u14_0;Fw 190 A-5/U14
fw_190a_5_u14_1;Fw 190 A-5/U14
fw_190a_5_u14_2;Fw 190 A-5/U14
q_5l_shop;Q-5L
q_5l_0;Q-5L "Fantan"
q_5l_1;Q-5L
q_5l_2;Q-5L
t2_early_shop;T-2 [E]
t2_early_0;T-2 Early
t2_early_1;T-2 [E]
t2_early_2;T-2 [E]
a_6e_tram_shop;A-6E TRAM
a_6e_tram_0;A-6E TRAM Intruder
a_6e_tram_1;A-6E TRAM
a_6e_tram_2;A-6E TRAM
douglas_a_1h_shop;A-1H
douglas_a_1h_0;A-1H Skyraider
douglas_a_1h_1;A-1H
douglas_a_1h_2;A-1H
fokker_d21_serie3_finland_shop;▄Fokker D.XXI
fokker_d21_serie3_finland_0;▄Fokker D.XXI Series 3
fokker_d21_serie3_finland_1;▄Fokker D.XXI
fokker_d21_serie3_finland_2;▄Fokker D.XXI
b_239_finland_shop;▄B-239
b_239_finland_0;▄Brewster Model 239
b_239_finland_1;▄B-239
b_239_finland_2;▄B-239
hurricane_mk1_late_finland_shop;▄Hurricane Mk I
hurricane_mk1_late_finland_0;▄Hurricane Mk I
hurricane_mk1_late_finland_1;▄Hurricane Mk I
hurricane_mk1_late_finland_2;▄Hurricane Mk I
bf-109g-2_finland_shop;▄Bf 109 G-2
bf-109g-2_finland_0;▄Bf 109 G-2
bf-109g-2_finland_1;▄Bf 109 G-2
bf-109g-2_finland_2;▄Bf 109 G-2
bf-109g-6_erla_finland_shop;▄Bf 109 G-6 [Erla]
bf-109g-6_erla_finland_0;▄Bf 109 G-6 [Erla Haube Canopy]
bf-109g-6_erla_finland_1;▄Bf 109 G-6 [Erla]
bf-109g-6_erla_finland_2;▄Bf 109 G-6 [Erla]
vampire_fb52_finland_shop;▄Vampire FB.52A
vampire_fb52_finland_0;▄Vampire FB.52A
vampire_fb52_finland_1;▄Vampire FB.52A
vampire_fb52_finland_2;▄Vampire FB.52A
ju-88a-4_finland_shop;▄Ju 88 A-4
ju-88a-4_finland_0;▄Ju 88 A-4
ju-88a-4_finland_1;▄Ju 88 A-4
ju-88a-4_finland_2;▄Ju 88 A-4
hunter_f50_sweden_shop;J34
hunter_f50_sweden_0;J34 Hunter
hunter_f50_sweden_1;J34
hunter_f50_sweden_2;J34
mig_21_bis_finland_shop;▄MiG-21bis
mig_21_bis_finland_0;▄MiG-21bis "Fishbed-N"
mig_21_bis_finland_1;▄MiG-21bis
mig_21_bis_finland_2;▄MiG-21bis
us_m1a2_sep_abrams_shop;M1A2 SEP
us_m1a2_sep_abrams_0;Tank, Combat, Full Tracked, 120mm Gun M1A2 System Enhancement Package (Tank Urban Survival Kit)
us_m1a2_sep_abrams_1;M1A2 SEP
us_m1a2_sep_abrams_2;M1A2 SEP
il_zsu_57_2_shop;ZSU-57-2
il_zsu_57_2_0;ZSU-57-2
il_zsu_57_2_1;ZSU-57-2
il_zsu_57_2_2;ZSU-57-2
il_tcm_20_shop;TCM-20
il_tcm_20_0;TCM-20
il_tcm_20_1;TCM-20
il_tcm_20_2;TCM-20
it_as_42_47_shop;AS 42/47
it_as_42_47_0;"Camionetta AS 42 Tipo II ""Metropolitana"" 47/32"
it_as_42_47_1;AS 42/47
it_as_42_47_2;AS 42/47
sw_a_34_comet_shop;▄Comet I
sw_a_34_comet_0;▄Tank, Cruiser, Comet I (A34)
sw_a_34_comet_1;▄Comet I
sw_a_34_comet_2;▄Comet I
sw_charioteer_mk_7_shop;▄Charioteer Mk VII
sw_charioteer_mk_7_0;▄Tank, Medium Gun, Charioteer Mk VII
sw_charioteer_mk_7_1;▄Charioteer Mk VII
sw_charioteer_mk_7_2;▄Charioteer Mk VII
sw_pzkpfw_IV_ausf_J_shop;▄Pz.IV J
sw_pzkpfw_IV_ausf_J_0;▄Pz.Kpfw. IV Ausf. J
sw_pzkpfw_IV_ausf_J_1;▄Pz.IV J
sw_pzkpfw_IV_ausf_J_2;▄Pz.IV J
